id,data de entrada,motivo de entrada,é transferência,código do abrigo,nome do animal,nome da raça,cor base,nome da espécie,sexo,data de movimentação,tipo de movimentação,data de retorno,motivo de retorno,data de falecimento,motivo de falecimento,morreu fora do abrigo,foi sacrificado,é DOA,idade (anos),classificacao da idade
15801,2009-11-28 00:00:00,Mudança,0,C09115463,Jadzia,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-05-13,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,9.166666666666666,Idoso
30812,2013-01-11 00:00:00,Abandonado,0,C1301091,Pretty Girl,Doméstico de Pelo Curto,Escama de tartaruga diluída,Gato,Fêmea,2017-04-18,Lar temporário,2018-05-29,Animal de rua,,Falecido sob cuidados,0,0,0,8.091666666666667,Idoso
30812,2013-01-11 00:00:00,Abandonado,0,C1301091,Pretty Girl,Doméstico de Pelo Curto,Escama de tartaruga diluída,Gato,Fêmea,2018-05-29,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,8.091666666666667,Idoso
46437,2016-10-26 00:00:00,Abandonado,0,C16103406,Nova,Doméstico de Pelo Longo,Preto,Gato,Fêmea,2017-03-25,Lar temporário,2017-04-07,Animal de rua,2018-02-10,"Incurável, incontrolável",0,1,0,12.25,Idoso
46437,2016-10-26 00:00:00,Abandonado,0,C16103406,Nova,Doméstico de Pelo Longo,Preto,Gato,Fêmea,2017-04-07,Adoção,2018-02-09,Incompatível com o estilo de vida do dono,2018-02-10,"Incurável, incontrolável",0,1,0,12.25,Idoso
47120,2017-01-11 00:00:00,Abandonado,0,C17011137,Vivian,Himalaio,Siamês,Gato,Fêmea,2017-01-18,Lar temporário,2017-05-13,Animal de rua,,Falecido sob cuidados,0,0,0,5.0,Adulto
47120,2017-01-11 00:00:00,Abandonado,0,C17011137,Vivian,Himalaio,Siamês,Gato,Fêmea,2017-05-13,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,5.0,Adulto
47198,2017-01-22 00:00:00,Abandonado,0,C17011213,Mama Mia,Doméstico de Pelo Curto,Cinza e Branco,Gato,Fêmea,2017-02-03,Lar temporário,2017-05-25,Animal de rua,,Falecido sob cuidados,0,0,0,3.25,Adulto
47198,2017-01-22 00:00:00,Abandonado,0,C17011213,Mama Mia,Doméstico de Pelo Curto,Cinza e Branco,Gato,Fêmea,2017-06-22,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.25,Adulto
47248,2017-01-27 00:00:00,Abandonado,0,C17011263,Mr. T,SRD,Preto,Gato,Macho,2017-02-15,Lar temporário,2017-06-02,Animal de rua,,Falecido sob cuidados,0,0,0,9.091666666666667,Idoso
47248,2017-01-27 00:00:00,Abandonado,0,C17011263,Mr. T,SRD,Preto,Gato,Macho,2017-06-02,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,9.091666666666667,Idoso
47277,2017-01-31 00:00:00,Abandonado,0,C17011292,Coraline,Doméstico de Pelo Curto,Marrom e Preto,Gato,Fêmea,2017-04-05,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.0833333333333335,Adulto
47290,2017-02-01 00:00:00,Abandonado,0,C17021304,Montana,Doméstico de Pelo Curto,Torbie,Gato,Fêmea,2017-03-29,Lar temporário,2017-04-27,Animal de rua,,Falecido sob cuidados,0,0,0,3.333333333333333,Adulto
47290,2017-02-01 00:00:00,Abandonado,0,C17021304,Montana,Doméstico de Pelo Curto,Torbie,Gato,Fêmea,2017-06-22,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.333333333333333,Adulto
47360,2017-02-11 00:00:00,Abandonado,0,C17021370,Calli,SRD,Variado,Gato,Fêmea,2017-03-07,Lar temporário,2017-04-22,Animal de rua,2017-06-13,"Incurável, incontrolável",0,1,0,16.25,Idoso
47360,2017-02-11 00:00:00,Abandonado,0,C17021370,Calli,SRD,Variado,Gato,Fêmea,2017-04-25,Lar temporário,2017-06-11,Animal de rua,2017-06-13,"Incurável, incontrolável",0,1,0,16.25,Idoso
47360,2017-02-11 00:00:00,Abandonado,0,C17021370,Calli,SRD,Variado,Gato,Fêmea,2017-06-12,Lar temporário,2017-06-13,Animal de rua,2017-06-13,"Incurável, incontrolável",0,1,0,16.25,Idoso
47395,2017-02-13 00:00:00,Abandonado,0,C17021405,Gooseberry,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-04-11,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,13.75,Idoso
47429,2017-02-18 00:00:00,Abandonado,0,C17021438,Ellen,SRD,Cinza,Gato,Fêmea,2017-03-05,Lar temporário,2017-04-26,Animal de rua,,Falecido sob cuidados,0,0,0,11.75,Idoso
