Data,IPCA  (% a.m.),INPC  (% a.m.),Salário mínimo real,Salário mínimo vigente,Taxa de desempego (desocupação), Endividamento e inadimplência do consumidor,Intenção de consumo das famílias (ICF) - Abaixo de 10 salários min,Intenção de consumo das famílias (ICF) - Acima de 10 salários min,INPC - alimentos e bebidas - taxa de variação - (% a.m.),INPC - transportes - taxa de variação - (% a.m.),INPC - saúde e cuidados pessoais - taxa de variação - (% a.m.),INPC - habitação - taxa de variação - (% a.m.),Data_mes,Diferença percentual entre salários,Desemprego Normalizado
2019-01-01,0.32,0.36,1363.03,998.0,12.2,0.6,93.03,109.96,0.9,0.61,0.01,0.16,2019-01,-26.780775184698797,0.5154915947204577
2019-02-01,0.43,0.54,1355.7,998.0,12.6,0.62,95.38,113.66,0.94,0.34,0.4,0.32,2019-02,-26.38489341299698,0.6675672061781199
2019-03-01,0.75,0.77,1345.34,998.0,12.8,0.62,94.92,113.3,1.5,1.18,0.37,0.32,2019-03,-25.81800883048151,0.7436050119069515
2019-04-01,0.57,0.6,1337.32,998.0,12.6,0.63,93.06,111.32,0.64,0.91,1.89,0.3,2019-04,-25.373134328358205,0.6675672061781199
2019-05-01,0.13,0.15,1335.32,998.0,12.4,0.63,91.48,109.62,-0.59,0.56,0.44,1.0,2019-05,-25.261360572746604,0.5915294004492891
2019-06-01,0.01,0.01,1335.19,998.0,12.1,0.64,88.71,103.99,-0.18,-0.3,0.71,0.03,2019-06,-25.25408368846382,0.47747269185604224
2019-07-01,0.19,0.1,1333.85,998.0,12.0,0.64,87.55,101.0,-0.05,-0.41,-0.63,1.2,2019-07,-25.178993140158184,0.43945378899162685
2019-08-01,0.11,0.12,1332.25,998.0,11.9,0.65,89.16,102.86,-0.49,-0.08,-0.14,1.18,2019-08,-25.089134922124224,0.40143488612721145
2019-09-01,-0.04,-0.05,1332.92,998.0,11.9,0.65,90.16,104.01,-0.42,-0.01,0.78,0.04,2019-09,-25.126789304684454,0.40143488612721145
2019-10-01,0.1,0.04,1332.39,998.0,11.8,0.65,90.91,105.25,0.02,0.35,0.42,-0.6,2019-10,-25.097006131838278,0.36341598326279606
2019-11-01,0.51,0.54,1325.23,998.0,11.3,0.65,92.43,109.06,0.78,0.19,0.18,0.72,2019-11,-24.69231755997072,0.17332146894071832
2019-12-01,1.15,1.22,1309.26,998.0,11.1,0.66,93.18,111.93,3.66,0.97,0.4,-0.86,2019-12,-23.773734781479614,0.09728366321188682
2020-01-01,0.21,0.19,1360.46,1039.0,11.4,0.65,93.61,113.84,0.45,0.43,-0.76,0.45,2020-01,-23.62877262102524,0.21134037180513374
2020-02-01,0.25,0.17,1366.0,1045.0,11.8,0.65,95.52,117.27,0.13,-0.18,0.91,-0.41,2020-02,-23.49926793557833,0.36341598326279606
2020-03-01,0.07,0.18,1363.54,1045.0,12.4,0.66,96.08,118.25,1.12,-0.41,0.2,0.12,2020-03,-23.36125086172756,0.5915294004492891
2020-04-01,-0.31,-0.23,1366.68,1045.0,12.7,0.67,92.67,110.1,1.91,-2.52,-0.24,-0.14,2020-04,-23.537331343108853,0.7055861090425354
2020-05-01,-0.38,-0.25,1370.11,1045.0,13.1,0.66,79.84,90.97,0.4,-1.44,-0.16,-0.29,2020-05,-23.728751706067392,0.8576617205001977
