Data;INPC - transportes - taxa de variação - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_INPCTC12;
1980-10;2,2;
1980-11;10,96;
1980-12;14,51;
1981-01;5,94;
1981-02;4,46;
1981-03;9,07;
1981-04;4,02;
1981-05;11,37;
1981-06;4,68;
1981-07;13,85;
1981-08;8,09;
1981-09;1,9;
1981-10;2,97;
1981-11;10,47;
1981-12;4,62;
1982-01;10,66;
1982-02;3,01;
1982-03;7,34;
1982-04;5,73;
1982-05;4,86;
1982-06;6,24;
1982-07;10,79;
1982-08;3,41;
1982-09;2,93;
1982-10;3,05;
1982-11;2,1;
1982-12;14,86;
1983-01;13,4;
1983-02;2,81;
1983-03;5,71;
1983-04;7,35;
1983-05;4,33;
1983-06;10,95;
1983-07;14,3;
1983-08;2,51;
1983-09;5,64;
1983-10;3,66;
1983-11;3,35;
1983-12;18,2;
1984-01;18,82;
1984-02;4,65;
1984-03;6,76;
1984-04;4,8;
1984-05;8,38;
1984-06;11,15;
1984-07;19,54;
1984-08;6,01;
1984-09;7,15;
1984-10;8,81;
1984-11;7,5;
1984-12;15,73;
1985-01;23,42;
1985-02;5,23;
1985-03;10,74;
1985-04;5,75;
1985-05;9,77;
1985-06;17,25;
1985-07;9,57;
1985-08;6,81;
1985-09;7,18;
1985-10;5,04;
1985-11;5,1;
1985-12;13,15;
1986-01;32,78;
1986-02;9,54;
1986-03;0,86;
1986-04;1,23;
1986-05;1,48;
1986-06;1,64;
1986-07;2,97;
1986-08;5,87;
1986-09;3,22;
1986-10;2,95;
1986-11;5,45;
1986-12;25,69;
1987-01;22,12;
1987-02;7,24;
1987-03;12,59;
1987-04;9,55;
1987-05;24,08;
1987-06;18,38;
1987-07;4,15;
1987-08;7,76;
1987-09;13;
1987-10;15,96;
1987-11;19,42;
1987-12;13,97;
1988-01;23,52;
1988-02;15,08;
1988-03;18,52;
1988-04;12,35;
1988-05;22,06;
1988-06;25,26;
1988-07;18,38;
1988-08;21,13;
1988-09;22,63;
1988-10;20,78;
