DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2022/04/17 15:29:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,AREIA BRANCA,Caatinga,-999.0,4.5,0.0,-4.95011,-36.95779,34.5
2022/04/17 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,FELIXLÂNDIA,Cerrado,1.0,0.0,1.0,-18.81404,-44.74966,22.5
2022/04/17 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAPAGIPE,Cerrado,4.0,0.0,0.9,-19.54416,-49.37927,12.5
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,JARDINÓPOLIS,Cerrado,3.0,0.0,0.3,-20.96667,-47.8313,4.7
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,CASA BRANCA,Cerrado,4.0,0.0,0.7,-21.81624,-46.98569,3.9
2022/04/17 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAPAGIPE,Cerrado,4.0,0.0,0.9,-19.54551,-49.38882,13.0
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,IACANGA,Cerrado,4.0,0.0,0.5,-21.9829,-49.01892,13.3
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,IACANGA,Cerrado,4.0,0.0,0.5,-21.98427,-49.02871,6.9
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,PIRACAIA,Mata Atlântica,5.0,0.0,0.9,-23.03127,-46.27462,10.4
2022/04/17 17:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado,3.0,0.0,0.7,-20.34271,-53.75467,31.1
2022/04/17 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,FELIXLÂNDIA,Cerrado,2.0,0.0,1.0,-18.81052,-44.75693,30.8
2022/04/17 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,FELIXLÂNDIA,Cerrado,2.0,0.0,0.9,-18.81636,-44.76326,20.2
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,ITU,Mata Atlântica,5.0,0.0,0.5,-23.3272,-47.30146,14.2
2022/04/17 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,ITU,Mata Atlântica,4.0,0.0,0.1,-23.32866,-47.31131,24.1
2022/04/17 17:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,TRÊS LAGOAS,Mata Atlântica,4.0,0.0,-999.0,-20.60572,-51.61176,45.1
2022/04/17 17:07:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGÁ,Amazônia,0.0,1.2,0.2,-12.22896,-57.59726,28.8
2022/04/17 17:07:00,AQUA_M-T,Brasil,MATO GROSSO,GAÚCHA DO NORTE,Amazônia,0.0,0.0,0.1,-12.30814,-53.25213,23.5
2022/04/17 17:07:00,AQUA_M-T,Brasil,MATO GROSSO,COCALINHO,Cerrado,1.0,0.3,0.1,-13.0871,-50.91781,13.2
2022/04/17 17:07:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARÁ DA SERRA,Cerrado,5.0,0.0,0.3,-14.37138,-58.88428,43.6
2022/04/17 17:05:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO TAQUARI,Cerrado,3.0,0.3,0.3,-17.83548,-53.19536,9.9
2022/04/17 17:07:00,AQUA_M-T,Brasil,MARANHÃO,BALSAS,Cerrado,4.0,4.0,0.0,-8.68574,-46.42272,21.1
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,DOVERLÂNDIA,Cerrado,3.0,0.0,1.0,-16.93707,-52.59616,50.9
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,DOVERLÂNDIA,Cerrado,3.0,0.0,0.8,-16.94707,-52.59486,10.8
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,CEZARINA,Cerrado,14.0,0.0,1.0,-17.06091,-49.75912,14.4
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,CAIAPÔNIA,Cerrado,5.0,0.0,1.0,-17.10885,-51.86787,8.7
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,RIO VERDE,Cerrado,5.0,0.0,0.4,-17.19738,-50.86943,23.1
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,RIO VERDE,Cerrado,5.0,0.0,0.4,-17.19872,-50.87925,10.8
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,VICENTINÓPOLIS,Cerrado,4.0,0.0,0.8,-17.72336,-49.76663,7.6
2022/04/17 17:05:00,AQUA_M-T,Brasil,GOIÁS,JATAÍ,Cerrado,5.0,0.0,1.0,-18.12263,-51.46903,6.7
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,JUÍNA,Amazônia,1.0,0.0,0.3,-10.8991,-58.9964,23.5
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Amazônia,4.0,0.0,0.3,-13.5884,-59.67815,38.9
2022/04/18 17:54:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,1.0,0.6,0.0,3.22423,-61.22962,9.8
2022/04/18 17:54:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazônia,2.0,0.2,0.4,3.56526,-60.6742,21.1
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPO NOVO DO PARECIS,Cerrado,13.0,0.0,0.4,-13.79875,-57.82286,14.9
2022/04/18 17:54:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTÃ,Amazônia,2.0,0.3,0.5,4.82008,-60.30437,11.7
2022/04/18 17:49:00,AQUA_M-T,Brasil,GOIÁS,JUSSARA,Cerrado,10.0,0.0,1.0,-15.86347,-51.35708,52.2
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPO NOVO DO PARECIS,Cerrado,13.0,0.0,0.2,-13.80059,-57.83445,10.5
2022/04/18 17:47:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,3.0,0.5,0.6,-18.44823,-56.72756,11.4
2022/04/18 17:47:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado,4.0,0.0,1.0,-20.34538,-53.7594,28.1
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JÚLIO,Cerrado,4.0,0.3,0.1,-14.06514,-59.29665,21.2
2022/04/18 17:45:00,AQUA_M-T,Brasil,SANTA CATARINA,ANCHIETA,Mata Atlântica,5.0,0.0,0.0,-26.5294,-53.32007,19.5
2022/04/18 17:45:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,7.0,0.0,0.4,-29.47316,-56.08277,6.3
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JÚLIO,Cerrado,4.0,0.3,0.2,-14.07292,-59.28537,32.5
2022/04/18 17:43:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MONTENEGRO,Pampa,6.0,0.0,0.0,-29.69133,-51.44011,10.2
2022/04/18 17:43:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,6.0,0.0,0.1,-30.48113,-52.69608,7.5
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Cerrado,0.0,0.0,0.5,-12.46258,-58.05433,12.5
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARÁ DA SERRA,Cerrado,4.0,0.0,0.2,-14.43372,-58.15269,9.0
2022/04/18 17:43:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,4.0,0.0,0.3,-31.11158,-53.17613,32.0
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Cerrado,10.0,0.0,0.2,-13.38165,-56.6804,9.6
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARÁ DA SERRA,Cerrado,4.0,0.0,0.2,-14.43542,-58.16363,50.1
2022/04/18 17:49:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARÁ DA SERRA,Cerrado,4.0,0.0,0.2,-14.44342,-58.151,8.5
