Ano,Mes,Estacao,Focos
2022,1,Verão,2645
2022,2,Verão,1838
2022,3,Outono,1729
2022,4,Outono,1587
2022,5,Outono,6635
2022,6,Inverno,7371
2022,7,Inverno,11991
2022,8,Inverno,42343
2022,9,Primavera,59909
2022,10,Primavera,31669
2022,11,Primavera,15412
2022,12,Verão,4473
2023,1,Verão,2348
2023,2,Verão,1915
2023,3,Outono,2330
2023,4,Outono,2293
2023,5,Outono,5246
2023,6,Inverno,8517
2023,7,Inverno,13683
2023,8,Inverno,27649
2023,9,Primavera,45954
2023,10,Primavera,39029
2023,11,Primavera,25710
2023,12,Verão,10779
